match id,bowler,bowler_id,bowler_dob,bowler_details,is_bowler_captain,is_bowler_keeper,inning,runs,wicket_count,balls_bowled,economy,maiden,dots,Fours,Sixes,wides,noballs,match_dt,ingestion_timestamp
8587795,PM Se,55299,1984-11-25,AUS:Right-hand bat:Right-arm fast-medium:,0,0,2,38,0,24,9.5,0,8,4,1,1,0,2021-01-08,2022/03/21 03:44:58
8587795,Md Ni,181404,1985-01-01,AFG:Right-hand bat:Right-arm offbreak:,0,0,1,9,0,6,9,0,1,1,0,0,0,2021-01-08,2022/03/21 03:44:58
8587795,Id Wm,1594319,1988-12-18,PAK:Left-hand bat:Slow left-arm orthodox:,0,0,1,28,1,24,7,0,6,3,0,0,0,2021-01-08,2022/03/21 03:44:58
8587795,KW Rn,1905847,1991-02-12,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,40,1,24,10,0,10,2,3,3,0,2021-01-08,2022/03/21 03:44:58
8587795,DR Bs,2170762,1991-04-30,ENG:Right-hand bat:Slow left-arm orthodox:,0,0,2,37,1,24,9.25,0,7,4,1,0,0,2021-01-08,2022/03/21 03:44:58
8587795,HA Cy,3890998,1992-09-17,AUS:Right-hand bat:Right-arm fast-medium:,0,0,2,23,0,18,7.67,0,8,3,0,0,0,2021-01-08,2022/03/21 03:44:58
8587795,MT Rw,5056134,1996-03-28,AUS:Left-hand bat:Right-arm offbreak:,0,0,2,8,0,6,8,0,1,1,0,0,0,2021-01-08,2022/03/21 03:44:58
8587795,Rd Kn,5554254,1998-09-20,AFG:Right-hand bat:Legbreak googly:,0,0,2,24,2,24,6,0,10,1,1,0,0,2021-01-08,2022/03/21 03:44:58
8587795,WA Ar,6718844,1997-02-05,AUS:Right-hand bat:Right-arm fast:,0,0,2,33,1,23,8.61,0,11,2,2,2,0,2021-01-08,2022/03/21 03:44:58
8587795,JA Pe,6842170,1996-02-28,AUS:Right-hand bat:Right-arm medium-fast:,0,0,1,20,2,18,6.67,0,6,2,0,2,0,2021-01-08,2022/03/21 03:44:58
8587795,Nr Ad,8277716,2005-01-03,AFG:Right-hand bat:Left-arm wrist-spin:,0,0,1,35,0,24,8.75,0,7,2,2,1,0,2021-01-08,2022/03/21 03:44:58
8587795,P Hu,8339701,1998-11-27,AUS:Right-hand bat:Legbreak googly:,0,0,1,43,3,24,10.75,0,7,3,3,0,0,2021-01-08,2022/03/21 03:44:58
8587802,DT Cn,34061,1983-05-04,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,23,1,18,7.67,0,4,2,0,0,0,2021-01-24,2022/03/21 03:44:58
8587802,DM St,2161599,1990-08-09,AUS:Left-hand bat:Left-arm wrist-spin:,0,0,2,14,0,6,14,0,1,1,1,0,0,2021-01-24,2022/03/21 03:44:58
8587802,SA At,2790675,1992-02-29,AUS:Right-hand bat:Right-arm fast-medium:,0,0,1,32,2,24,8,0,10,4,1,0,0,2021-01-24,2022/03/21 03:44:58
8587802,JT Bl,2904943,1991-03-14,ENG:Right-hand bat:Right-arm fast-medium:,0,0,1,44,2,24,11,0,8,7,0,4,0,2021-01-24,2022/03/21 03:44:58
8587802,SM Bd,3125849,1989-04-11,AUS:Right-hand bat:Right-arm fast-medium:,0,0,2,23,2,24,5.75,0,12,1,1,0,0,2021-01-24,2022/03/21 03:44:58
