match id,team1,team2,outcome,winner,by,win amount,player of match,toss winner,toss decision,match type,venue,city,match_dt,lighting,series_name,season,ground_id,umpire1,umpire2,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,team1_id,team1_roster_names,team1_roster_ids,team2_id,team2_roster_names,team2_roster_ids,ingestion_timestamp
8587795,Ae Ss,Me Rs,normal,Me Rs,wickets,6,Md Ni,Ae Ss,bat,T20,Ae Ol,Adelaide,2021-01-08,day/night match,Bg Bh Le,2020/21,930,DR Close,D Taylor,177,7,120,178,4,120,33914,MT Rw:PD St:AT Cy:J Wd:RJ Gn:JW Ws:Rd Kn:DR Bs:WA Ar:PM Se:HA Cy,5056134.0:4685568.0:2285051.0:5469008.0:5776490.0:1635773.0:5554254.0:2170762.0:6718844.0:55299.0:3890998.0,33942,MW Hy:AJ Fh:SB Hr:Md Ni:JA Pe:J Fk:BJ Wr:Id Wm:KW Rn:P Hu:Nr Ad,7534687.0:37351.0:5406540.0:181404.0:6842170.0:8176356.0:2669316.0:1594319.0:1905847.0:8339701.0:8277716.0,2022/02/18 03:12:45
8587802,Ht Hs,Sy Ss,normal,Ht Hs,runs,7,MS We,Sy Ss,field,T20,Me Ct Gd,Melbourne,2021-01-24,night match,Bg Bh Le,2020/21,440,DR Close,SAJ Craig,188,8,120,181,8,120,33928,MS We:DM St:BR Mt:DJ Mn:WG Js:TH Dd:NT Es:NP Wr:SM Bd:RP Mh:S Le,1611364.0:2161599.0:4223883.0:1655436.0:6282856.0:6249256.0:5788418.0:3510499.0:3125849.0:6732004.0:6722540.0,33956,JR Pe:JM Ve:DP Hs:MC Hs:JC Sk:DT Cn:CR Be:SA At:BJ Ds:BD Mi:JT Bl,7869987.0:2076192.0:4002340.0:41740.0:3063696.0:34061.0:3200756.0:2790675.0:4756982.0:7455818.0:2904943.0,2022/02/18 03:12:45
8587816,Ph Ss,Sy Ss,normal,Ph Ss,runs,86,MR Mh,Sy Ss,field,T20,Ph Sm,Perth,2021-01-06,day/night match,Bg Bh Le,2020/21,23841,DM Koch,MW Graham-Smith,183,4,120,97,10,100,33935,JJ Ry:LS Le:C Mo:JP Is:MR Mh:AJ Tr:AM He:JA Rn:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33956,JR Pe:J Es:JM Ve:DP Hs:JC Sk:DT Cn:CR Be:SJ Oe:JM Bd:JT Bl:L Pe:BJ Ds,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:49496.0:1506077.0:2904943.0:7537060.0:4756982.0,2022/02/18 03:12:45
8587837,Sy Ss,Be Ht,normal,Be Ht,wickets,4,MT Se,Sy Ss,bat,T20,Be Ct Gd,Brisbane,2021-01-02,night match,Bg Bh Le,2020/21,1476,GJ Davidson,PJ Gillespie,165,8,120,171,6,119,33956,JR Pe:J Es:JM Ve:DP Hs:JC Sk:DT Cn:CR Be:BJ Ds:BD Mi:SJ Oe:JM Bd,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:4756982.0:7455818.0:49496.0:1506077.0,33921,M Bt:JA Bs:JL Dy:SD Ht:JJ Pn:L Gy:JJ By:JD Wh:MT Se:XC Bt:Mb Ur Rn:MP Kn,7620269.0:2286437.0:87191.0:5786766.0:3114803.0:2535420.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0:5419546.0,2022/02/18 03:12:45
8587844,Ae Ss,Me Rs,normal,Ae Ss,runs,60,RJ Gn,Ae Ss,bat,T20,Ae Ol,Adelaide,2021-01-05,night match,Bg Bh Le,2020/21,930,DR Close,SJ Nogajski,171,5,120,111,10,116,33914,MT Rw:PD St:AT Cy:JW Ws:RJ Gn:J Wd:Rd Kn:DR Bs:WA Ar:PM Se:HA Cy,5056134.0:4685568.0:2285051.0:1635773.0:5776490.0:5469008.0:5554254.0:2170762.0:6718844.0:55299.0:3890998.0,33942,AJ Fh:MW Hy:SB Hr:Md Ni:BJ Wr:Id Wm:J Fk:JA Pe:KW Rn:JK Lr:Nr Ad,37351.0:7534687.0:5406540.0:181404.0:2669316.0:1594319.0:8176356.0:6842170.0:1905847.0:1906708.0:8277716.0,2022/02/18 03:12:45
8587851,Ph Ss,Ht Hs,normal,Ph Ss,runs,22,JA Rn,Ph Ss,bat,T20,Ds Sm,Melbourne,2021-01-22,day/night match,Bg Bh Le,2020/21,8252,PJ Gillespie,SAJ Craig,179,8,120,157,8,120,33935,JJ Ry:LS Le:C Mo:JP Is:MR Mh:AJ Tr:AM He:JA Rn:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33928,MS We:DM St:BR Mt:DJ Mn:PP Hb:WG Js:TH Dd:NT Es:SM Bd:RP Mh:S Le,1611364.0:2161599.0:4223883.0:1655436.0:2340372.0:6282856.0:6249256.0:5788418.0:3125849.0:6732004.0:6722540.0,2022/02/18 03:12:45
8587858,Be Ht,Me Ss,normal,Be Ht,runs,17,CA Ln,Me Ss,field,T20,Ca Ol,Carrara,2021-01-07,night match,Bg Bh Le,2020/21,6663,GA Abood,PJ Gillespie,115,3,63,111,5,61,33921,M Bt:CA Ln:JL Dy:JA Bs:L Gy:JJ Pn:JJ By:JD Wh:MT Se:XC Bt:Mb Ur Rn,7620269.0:2286472.0:87191.0:2286437.0:2535420.0:3114803.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0,33949,AS Fr:MP Ss:N Pn:GJ Ml:HR Ct:NR Ln:SE Gh:A Za:SL Rd:Hs Rf:B Se,363047.0:2275097.0:4230127.0:2275195.0:3901078.0:3737103.0:3501882.0:2656541.0:2337117.0:8131255.0:3731307.0,2022/02/18 03:12:45
8587865,Ae Ss,Sy Tr,normal,Sy Tr,wickets,9,AD Hs,Sy Tr,field,T20,Ae Ol,Adelaide,2021-01-25,night match,Bg Bh Le,2020/21,930,GA Abood,GJ Davidson,115,4,88,116,1,75,33914,AT Cy:J Wd:PD St:TM Hd:JW Ws:RJ Gn:MG Nr:DJ Wl:WA Ar:LN Or:PM Se,2285051.0:5469008.0:4685568.0:3710090.0:1635773.0:5776490.0:2633196.0:3901099.0:6718844.0:2340729.0:55299.0,33963,UT Ka:AD Hs:CJ Fn:SW Bs:AI Rs:BJ Cg:N Mw:CJ Gn:AF Me:B Dt:T Sa,1506098.0:1749075.0:36665.0:2083409.0:2335381.0:1612610.0:5497274.0:5509524.0:3156033.0:6521234.0:8193310.0,2022/02/18 03:12:45
8587879,Ph Ss,Be Ht,normal,Ph Ss,runs,59,C Mo,Be Ht,field,T20,Ds Sm,Melbourne,2021-01-19,night match,Bg Bh Le,2020/21,8252,DR Close,MW Graham-Smith,174,5,118,115,10,103,33935,JJ Ry:LS Le:C Mo:JP Is:CT Bt:AJ Tr:JA Rn:AM He:AJ Te:JP Bf:Fd Ad,2089079.0:2827327.0:1626526.0:4635658.0:3507090.0:3501889.0:5419574.0:7869994.0:3216569.0:1907352.0:1684276.0,33921,M Bt:CA Ln:JL Dy:JA Bs:L Gy:JD Wh:JJ Pn:JJ By:MT Se:MP Kn:M Ml:XC Bt,7620269.0:2286472.0:87191.0:2286437.0:2535420.0:3995991.0:3114803.0:4967738.0:3890984.0:5419546.0:325779.0:7353828.0,2022/02/18 03:12:45
8587886,Me Ss,Ae Ss,normal,Me Ss,runs,111,AS Fr,Ae Ss,field,T20,Me Ct Gd,Melbourne,2021-01-15,night match,Bg Bh Le,2020/21,440,SJ Nogajski,SAJ Craig,179,2,120,68,10,89,33949,AS Fr:MP Ss:GJ Ml:HR Ct:NR Ln:NJ Mn:SE Gh:A Za:B Se:Hs Rf:Zr Kn,363047.0:2275097.0:2275195.0:3901078.0:3737103.0:2336473.0:3501882.0:2656541.0:3731307.0:8131255.0:4985546.0,33914,AT Cy:PD St:MT Rw:JW Ws:J Wd:RJ Gn:C Ve:DJ Wl:DR Bs:WA Ar:LN Or,2285051.0:4685568.0:5056134.0:1635773.0:5469008.0:5776490.0:4239045.0:3901099.0:2170762.0:6718844.0:2340729.0,2022/02/18 03:12:45
